transaction_id,transaction_date,value_date,amount,currency,reference,description
BANK3037,2026-09-02,2026-09-02,12420.55,INR,PAY2037,NET SETTLEMENT PAY2037
BANK3038,2026-09-02,2026-09-02,13119.4,INR,PAY2038,NET SETTLEMENT PAY2038
BANK3039,2026-09-02,2026-09-02,56017.59,INR,PAY2039,NET SETTLEMENT PAY2039
BANK3040,2026-09-02,2026-09-02,68841.62,INR,PAY2040,NET SETTLEMENT PAY2040
BANK3041,2026-09-02,2026-09-02,70354.14,INR,PAY2041,NET SETTLEMENT PAY2041
BANK3042,2026-09-02,2026-09-02,48289.09,INR,PAY2042,NET SETTLEMENT PAY2042
BANK3043,2026-09-02,2026-09-02,66902.84,INR,PAY2043,NET SETTLEMENT PAY2043
BANK3044,2026-09-02,2026-09-02,67433.2,INR,PAY2044,NET SETTLEMENT PAY2044
BANK3045,2026-09-02,2026-09-02,34899.81,INR,PAY2045,NET SETTLEMENT PAY2045
BANK3046,2026-09-02,2026-09-02,61593.53,INR,PAY2046,NET SETTLEMENT PAY2046
BANK3047,2026-09-02,2026-09-02,62510.38,INR,PAY2047,NET SETTLEMENT PAY2047
BANK3048,2026-09-02,2026-09-02,47531.15,INR,PAY2048,NET SETTLEMENT PAY2048
BANK3049,2026-09-02,2026-09-02,77427.15,INR,PAY2049,NET SETTLEMENT PAY2049
BANK3050,2026-09-02,2026-09-02,41729.68,INR,PAY2050,NET SETTLEMENT PAY2050
BANK3051,2026-09-02,2026-09-02,13929.68,INR,PAY2051,NET SETTLEMENT PAY2051
BANK3052,2026-09-02,2026-09-02,70308.67,INR,PAY2052,NET SETTLEMENT PAY2052
BANK3053,2026-09-04,2026-09-04,18798.57,INR,PAY2053,PAYOUT PAY2053
BANK3054,2026-09-04,2026-09-04,15886.5,INR,PAY2054,PAYOUT PAY2054
BANK3055,2026-09-04,2026-09-04,24015.29,INR,PAY2055,PAYOUT PAY2055
BANK3056,2026-09-04,2026-09-04,11146.79,INR,PAY2056,PAYOUT PAY2056
BANK3057,2026-09-04,2026-09-04,13867.33,INR,PAY2057,PAYOUT PAY2057
BANK3058,2026-09-04,2026-09-04,8001.14,INR,PAY2058,PAYOUT PAY2058
BANK3059,2026-09-04,2026-09-04,9636.58,INR,PAY2059,PAYOUT PAY2059
BANK3060,2026-09-04,2026-09-04,12252.13,INR,PAY2060,PAYOUT PAY2060
BANK3061,2026-09-04,2026-09-04,11769.12,INR,PAY2061,PAYOUT PAY2061
BANK3062,2026-09-04,2026-09-04,18828.55,INR,PAY2062,PAYOUT PAY2062
BANK3063,2026-09-04,2026-09-04,7564.15,INR,PAY2063,PAYOUT PAY2063
BANK3064,2026-09-04,2026-09-04,14567.89,INR,PAY2064,PAYOUT PAY2064
BANK3065,2026-09-01,2026-09-01,7087.95,INR,UTR8001,ACME TRADERS PAYOUT
BANK3066,2026-09-01,2026-09-01,14379.99,INR,UTR8002,Bluewave Logisitcs PAYOUT
BANK3067,2026-09-01,2026-09-01,16622.89,INR,UTR8003,CRESTLINE FOODS INDIA PAYOUT
BANK3068,2026-09-01,2026-09-01,9550.84,INR,UTR8004,DELTA TEXTILE MILLS PAYOUT
BANK3069,2026-09-01,2026-09-01,13316.65,INR,UTR8005,EVERLINE MEDIA GROUP PAYOUT
BANK3070,2026-09-01,2026-09-01,15360.0,INR,UTR8006,FALCON FRT SVCS PAYOUT
BANK3071,2026-09-01,2026-09-01,6403.31,INR,UTR8007,GREENFIELD FARM CO PAYOUT
BANK3072,2026-09-01,2026-09-01,13334.35,INR,UTR8008,HORIZON RETAIL LIMITED PAYOUT
BANK3073,2026-09-01,2026-09-01,8624.74,INR,UTR8009,INDIGO HEALTHCARE LTD PAYOUT
BANK3074,2026-09-01,2026-09-01,11130.96,INR,UTR8010,JUPITER ELECTRONIC PVT LTD PAYOUT
BANK3075,2026-09-01,2026-09-01,19036.88,INR,UTR8011,KESTREL ANALYTIC LLP PAYOUT
BANK3076,2026-09-01,2026-09-01,18001.49,INR,UTR8012,LUMEN ENRGY SOLTNS PAYOUT
BANK3077,2026-09-01,2026-09-01,16955.0,INR,UTR8013,MERIDIAN PHARMA CO PAYOUT
BANK3078,2026-09-01,2026-09-01,15593.72,INR,UTR8014,NOVASTAR APPARELS CO PAYOUT
BANK3079,2026-09-01,2026-09-01,11850.01,INR,UTR8015,PAYMENT TO STATIONERY SUPPLIER
BANK3080,2026-09-01,2026-09-01,8589.8,INR,UTR8016,MONTHLY CLOUD HOSTING CHARGE
BANK3081,2026-09-01,2026-09-01,14106.35,INR,UTR8017,LOGISTICS AND COURIER PAYOUT
BANK3082,2026-09-01,2026-09-01,16352.46,INR,UTR8018,DIGITAL ADS CAMPAIGN SETTLEMENT
BANK3083,2026-09-01,2026-09-01,10523.19,INR,UTR8019,CORPORATE INSURANCE PREMIUM
BANK3084,2026-09-01,2026-09-01,12467.7,INR,UTR8020,OFFICE MAINTENANCE SERVICES
BANK3085,2026-09-01,2026-09-01,5407.92,INR,UTR8021,OUTSIDE COUNSEL MONTHLY RETAINER
BANK3086,2026-09-01,2026-09-01,8451.65,INR,UTR8022,HIRING PARTNER PLACEMENT FEE
BANK3087,2026-09-02,2026-09-02,41280.07,INR,SET7001,BATCH SETTLEMENT SET7001
BANK3088,2026-09-02,2026-09-02,39201.67,INR,SET7002,BATCH SETTLEMENT SET7002
BANK3089,2026-09-02,2026-09-02,34318.58,INR,SET7003,BATCH SETTLEMENT SET7003
BANK3090,2026-09-02,2026-09-02,46787.19,INR,SET7004,BATCH SETTLEMENT SET7004
BANK3091,2026-09-02,2026-09-02,28376.96,INR,SET7005,BATCH SETTLEMENT SET7005
BANK3092,2026-09-02,2026-09-02,53004.11,INR,SET7006,BATCH SETTLEMENT SET7006
BANK3093,2026-09-02,2026-09-02,28878.75,INR,SET7007,BATCH SETTLEMENT SET7007
BANK3094,2026-09-02,2026-09-02,17962.77,INR,INV6001,PART PAYMENT INV6001 A
BANK3095,2026-09-03,2026-09-03,26944.16,INR,INV6001,PART PAYMENT INV6001 B
BANK3096,2026-09-02,2026-09-02,23242.85,INR,INV6002,PART PAYMENT INV6002 A
BANK3097,2026-09-03,2026-09-03,34864.27,INR,INV6002,PART PAYMENT INV6002 B
BANK3098,2026-09-02,2026-09-02,20257.78,INR,INV6003,PART PAYMENT INV6003 A
BANK3099,2026-09-03,2026-09-03,30386.66,INR,INV6003,PART PAYMENT INV6003 B
BANK3100,2026-09-02,2026-09-02,17275.9,INR,INV6004,PART PAYMENT INV6004 A
BANK3101,2026-09-03,2026-09-03,25913.85,INR,INV6004,PART PAYMENT INV6004 B
BANK3102,2026-09-02,2026-09-02,30810.48,INR,INV6005,PART PAYMENT INV6005 A
BANK3103,2026-09-03,2026-09-03,46215.71,INR,INV6005,PART PAYMENT INV6005 B
BANK3104,2026-09-02,2026-09-02,22976.67,INR,INV6006,PART PAYMENT INV6006 A
BANK3105,2026-09-03,2026-09-03,15317.78,INR,INV6006,PART PAYMENT INV6006 B
BANK3106,2026-09-02,2026-09-02,24231.47,INR,INV6007,PART PAYMENT INV6007 A
BANK3107,2026-09-03,2026-09-03,16154.31,INR,INV6007,PART PAYMENT INV6007 B
BANK3108,2026-09-02,2026-09-02,27938.97,INR,INV6008,PART PAYMENT INV6008 A
BANK3109,2026-09-03,2026-09-03,18625.98,INR,INV6008,PART PAYMENT INV6008 B
BANK3110,2026-09-02,2026-09-02,19855.13,INR,INV6009,PART PAYMENT INV6009 A
BANK3111,2026-09-03,2026-09-03,13236.75,INR,INV6009,PART PAYMENT INV6009 B
BANK3112,2026-09-02,2026-09-02,34402.22,INR,INV6010,PAYMENT INV6010 A
BANK3113,2026-09-03,2026-09-03,29109.57,INR,INV6010,PAYMENT INV6010 B
BANK3114,2026-09-02,2026-09-02,19591.07,INR,INV6011,PAYMENT INV6011 A
BANK3115,2026-09-03,2026-09-03,16577.06,INR,INV6011,PAYMENT INV6011 B
BANK3116,2026-09-02,2026-09-02,29519.96,INR,INV6012,PAYMENT INV6012 A
BANK3117,2026-09-03,2026-09-03,24978.43,INR,INV6012,PAYMENT INV6012 B
BANK3118,2026-09-02,2026-09-02,19679.17,INR,INV6013,PAYMENT INV6013 A
BANK3119,2026-09-03,2026-09-03,16651.61,INR,INV6013,PAYMENT INV6013 B
BANK3120,2026-09-01,2026-09-01,14881.89,INR,PAY2115,PAYOUT PAY2115 ADJUSTED
BANK3121,2026-09-01,2026-09-01,17801.41,INR,PAY2116,PAYOUT PAY2116 ADJUSTED
BANK3122,2026-09-01,2026-09-01,9591.98,INR,PAY2117,PAYOUT PAY2117 ADJUSTED
BANK3123,2026-09-01,2026-09-01,27435.7,INR,PAY2118,PAYOUT PAY2118 ADJUSTED
BANK3124,2026-09-01,2026-09-01,17953.22,INR,PAY2119,PAYOUT PAY2119 ADJUSTED
BANK3125,2026-09-01,2026-09-01,28648.65,INR,PAY2120,PAYOUT PAY2120 ADJUSTED
BANK3126,2026-09-01,2026-09-01,29141.62,INR,PAY2121,PAYOUT PAY2121 ADJUSTED
BANK3127,2026-09-01,2026-09-01,21452.81,INR,PAY2122,PAYOUT PAY2122 ADJUSTED
BANK3128,2026-09-01,2026-09-01,14487.32,INR,PAY2123,PAYOUT PAY2123 ADJUSTED
BANK3129,2026-09-01,2026-09-01,29016.51,INR,PAY2124,PAYOUT PAY2124 ADJUSTED
BANK3130,2026-09-01,2026-09-01,14570.39,INR,UTR8023,UNIDENTIFIED NEFT CREDIT
BANK3131,2026-09-01,2026-09-01,15002.08,INR,UTR8024,UNIDENTIFIED NEFT CREDIT
BANK3132,2026-09-01,2026-09-01,7997.66,INR,UTR8025,UNIDENTIFIED NEFT CREDIT
BANK3133,2026-09-01,2026-09-01,2493.22,INR,UTR8026,UNIDENTIFIED NEFT CREDIT
BANK3134,2026-09-01,2026-09-01,15707.49,INR,UTR8027,UNIDENTIFIED NEFT CREDIT
BANK3135,2026-09-01,2026-09-01,8144.95,INR,UTR8028,UNIDENTIFIED NEFT CREDIT
BANK3136,2026-09-01,2026-09-01,12381.61,INR,UTR8029,UNIDENTIFIED NEFT CREDIT
BANK3137,2026-09-01,2026-09-01,11391.16,INR,UTR8030,UNIDENTIFIED NEFT CREDIT
BANK3138,2026-09-01,2026-09-01,12555.7,INR,UTR8031,ACME TRADERS
BANK3139,2026-09-01,2026-09-01,12555.7,INR,UTR8032,ACME TRADERS 
BANK3140,2026-09-01,2026-09-01,10077.97,INR,UTR8033,BLUEWAVE LOGISTICS
BANK3141,2026-09-01,2026-09-01,10077.97,INR,UTR8034,BLUEWAVE LOGISTICS 
BANK3142,2026-09-01,2026-09-01,14557.82,INR,UTR8035,CRESTLINE FOODS
BANK3143,2026-09-01,2026-09-01,14557.82,INR,UTR8036,CRESTLINE FOODS 
BANK3144,2026-09-01,2026-09-01,8035.44,INR,UTR8037,DELTA TEXTILES
BANK3145,2026-09-01,2026-09-01,8035.44,INR,UTR8038,DELTA TEXTILES 
BANK3146,2026-09-01,2026-09-01,21003.25,INR,UTR8039,EVERLINE MEDIA
BANK3147,2026-09-01,2026-09-01,21003.25,INR,UTR8040,EVERLINE MEDIA 
BANK3148,2026-09-01,2026-09-01,7961.56,INR,UTR8041,FALCON FREIGHT
BANK3149,2026-09-01,2026-09-01,7961.56,INR,UTR8042,FALCON FREIGHT 
BANK3150,2026-09-02,2026-09-02,16946.39,INR,PAY2139,SETTLEMENT PAYOUT PAY2139
BANK3151,2026-09-03,2026-09-03,-5764.07,INR,RF-PAY2139,REFUND DEBIT PAY2139
BANK3152,2026-09-02,2026-09-02,11339.16,INR,PAY2140,SETTLEMENT PAYOUT PAY2140
BANK3153,2026-09-03,2026-09-03,-3856.86,INR,RF-PAY2140,REFUND DEBIT PAY2140
BANK3154,2026-09-02,2026-09-02,14455.67,INR,PAY2141,SETTLEMENT PAYOUT PAY2141
BANK3155,2026-09-03,2026-09-03,-4916.89,INR,RF-PAY2141,REFUND DEBIT PAY2141
BANK3156,2026-09-02,2026-09-02,21917.52,INR,PAY2142,SETTLEMENT PAYOUT PAY2142
BANK3157,2026-09-03,2026-09-03,-7454.94,INR,RF-PAY2142,REFUND DEBIT PAY2142
BANK3158,2026-09-02,2026-09-02,13707.78,INR,PAY2143,SETTLEMENT PAYOUT PAY2143
BANK3159,2026-09-03,2026-09-03,-4662.51,INR,RF-PAY2143,REFUND DEBIT PAY2143
BANK3160,2026-09-02,2026-09-02,19164.57,INR,PAY2144,SETTLEMENT PAYOUT PAY2144
BANK3161,2026-09-03,2026-09-03,-6518.56,INR,RF-PAY2144,REFUND DEBIT PAY2144
BANK3162,2026-09-02,2026-09-02,8161.9,INR,PAY2145,SETTLEMENT PAYOUT PAY2145
BANK3163,2026-09-02,2026-09-02,7681.26,INR,PAY2146,SETTLEMENT PAYOUT PAY2146
BANK3164,2026-09-02,2026-09-02,5725.15,INR,PAY2147,SETTLEMENT PAYOUT PAY2147
BANK3165,2026-09-02,2026-09-02,12473.36,INR,PAY2148,SETTLEMENT PAYOUT PAY2148
BANK3166,2026-09-02,2026-09-02,7895.2,INR,PAY2149,SETTLEMENT PAYOUT PAY2149
BANK3167,2026-09-03,2026-09-03,-1973.8,INR,RF-PAY2149-A,REFUND DEBIT PAY2149
BANK3168,2026-09-03,2026-09-03,-1973.8,INR,RF-PAY2149-B,REFUND DEBIT PAY2149
BANK3169,2026-09-02,2026-09-02,7090.16,INR,PAY2150,SETTLEMENT PAYOUT PAY2150
BANK3170,2026-09-03,2026-09-03,-1772.54,INR,RF-PAY2150-A,REFUND DEBIT PAY2150
BANK3171,2026-09-03,2026-09-03,-1772.54,INR,RF-PAY2150-B,REFUND DEBIT PAY2150
BANK3172,2026-09-02,2026-09-02,11057.1,INR,PAY2151,SETTLEMENT PAYOUT PAY2151
BANK3173,2026-09-03,2026-09-03,-2764.27,INR,RF-PAY2151-A,REFUND DEBIT PAY2151
BANK3174,2026-09-03,2026-09-03,-2764.27,INR,RF-PAY2151-B,REFUND DEBIT PAY2151
BANK3175,2026-09-02,2026-09-02,1439.92,INR,PAY2152,Delta Textiles
BANK3176,2026-09-04,2026-09-04,21496.81,INR,PAY2153,Everline Media
BANK3177,2026-09-02,2026-09-02,6224.51,INR,PAY2159,Falcon Freight
BANK3178,2026-09-02,2026-09-02,24204.92,INR,PAY2155,GreenfieldFarms
BANK3179,2026-09-02,2026-09-02,14673.85,INR,PAY2156,Horizon Retail
BANK3180,2026-09-02,2026-09-02,23761.51,INR,,Indigo Health
BANK3181,2026-09-02,2026-09-02,15000.0,INR,PAY2158,Jupiter Electronics
BANK3182,2026-09-02,2026-09-02,15000.0,INR,PAY2158,Jupiter Electronics
BANK3183,2026-09-02,2026-09-02,8338.21,USD,PAY2159,PAYOUT PAY2159
BANK3184,2026-09-02,2026-09-02,16866.59,USD,PAY2160,PAYOUT PAY2160
BANK3185,2026-09-02,2026-09-02,11180.27,USD,PAY2161,PAYOUT PAY2161
BANK3186,2026-09-02,2026-09-02,17116.19,USD,PAY2162,PAYOUT PAY2162
BANK3187,2026-09-02,2026-09-02,38520.0,INR,INV6019,DIRECT CUSTOMER CREDIT Bluewave Logistics
BANK3188,2026-09-02,2026-09-02,21280.67,INR,INV6020,DIRECT CUSTOMER CREDIT Crestline Foods
BANK3189,2026-09-02,2026-09-02,30184.54,INR,INV6021,DIRECT CUSTOMER CREDIT Delta Textiles
BANK3190,2026-09-02,2026-09-02,17993.49,INR,INV6022,DIRECT CUSTOMER CREDIT Everline Media
BANK3191,2026-09-02,2026-09-02,20403.93,INR,INV6023,DIRECT CUSTOMER CREDIT Falcon Freight
BANK3192,2026-09-02,2026-09-02,26520,INR,UTR8043,Reimbursement settled to trading partner re: August purchase order
BANK3193,2026-09-02,2026-09-02,28900,INR,UTR8044,Freight partner payout — logistics services rendered last cycle
BANK3194,2026-09-02,2026-09-02,29340,INR,UTR8045,"Vendor disbursement, data/analytics engagement, per SOW"
BANK3195,2026-09-02,2026-09-02,20090,INR,UTR8046,Utility partner settlement for energy services contract
BANK3196,2026-09-02,2026-09-02,24560,INR,UTR8047,Payout to pharma supply partner against PO fulfilment
BANK3197,2026-09-02,2026-09-02,13470,INR,UTR8048,"Garment vendor payment, seasonal collection order"
BANK3198,2026-09-02,2026-09-02,10000,INR,UTR8049,"Furnishings supplier settlement, showroom order batch"
BANK3199,2026-09-02,2026-09-02,39310,INR,UTR8050,"Advisory partner payout, quarterly engagement fee"
BANK3200,2026-09-02,2026-09-02,12294.61,INR,UTR8051,ACME TRADERS SECOND INSTALMENT REF ORDER 171
BANK3201,2026-09-02,2026-09-02,12484.13,INR,UTR8052,ACME TRADERS FIRST INSTALMENT REF ORDER 171
BANK3202,2026-09-02,2026-09-02,25705.88,INR,UTR8053,BLUEWAVE LOGISTICS SECOND INSTALMENT REF ORDER 172
BANK3203,2026-09-02,2026-09-02,25385.59,INR,UTR8054,BLUEWAVE LOGISTICS FIRST INSTALMENT REF ORDER 172
BANK3204,2026-09-02,2026-09-02,21303.59,INR,UTR8055,CRESTLINE FOODS SECOND INSTALMENT REF ORDER 173
BANK3205,2026-09-02,2026-09-02,21462.14,INR,UTR8056,CRESTLINE FOODS FIRST INSTALMENT REF ORDER 173
BANK3206,2026-09-02,2026-09-02,28546.24,INR,UTR8057,DELTA TEXTILES SECOND INSTALMENT REF ORDER 174
BANK3207,2026-09-02,2026-09-02,28991.75,INR,UTR8058,DELTA TEXTILES FIRST INSTALMENT REF ORDER 174
BANK3208,2026-09-02,2026-09-02,26075.53,INR,UTR8059,EVERLINE MEDIA SECOND INSTALMENT REF ORDER 175
BANK3209,2026-09-02,2026-09-02,25719.17,INR,UTR8060,EVERLINE MEDIA FIRST INSTALMENT REF ORDER 175
BANK3210,2026-09-02,2026-09-02,18755.33,INR,UTR8061,FALCON FREIGHT SECOND INSTALMENT REF ORDER 176
BANK3211,2026-09-02,2026-09-02,18394.87,INR,UTR8062,FALCON FREIGHT FIRST INSTALMENT REF ORDER 176
BANK3212,2026-09-02,2026-09-02,28744.99,INR,UTR8063,GREENFIELD FARMS SECOND INSTALMENT REF ORDER 177
BANK3213,2026-09-02,2026-09-02,28535.94,INR,UTR8064,GREENFIELD FARMS FIRST INSTALMENT REF ORDER 177
BANK3214,2026-09-03,2026-09-03,15713.27,INR,PO-4701,PAYMENT AGAINST PO-4701 RAISED BY DELTA TEXTILES PROCUREMENT DESK
BANK3215,2026-09-03,2026-09-03,12108.48,INR,PO-4294,PAYMENT AGAINST PO-4294 RAISED BY EVERLINE MEDIA PROCUREMENT DESK
BANK3216,2026-09-03,2026-09-03,34045.98,INR,PO-4613,PAYMENT AGAINST PO-4613 RAISED BY FALCON FREIGHT PROCUREMENT DESK
BANK3217,2026-09-03,2026-09-03,43250.93,INR,PO-4928,PAYMENT AGAINST PO-4928 RAISED BY GREENFIELD FARMS PROCUREMENT DESK
BANK3218,2026-09-03,2026-09-03,15682.39,INR,PO-4123,PAYMENT AGAINST PO-4123 RAISED BY HORIZON RETAIL PROCUREMENT DESK
BANK3219,2026-09-03,2026-09-03,31192.16,INR,PO-4744,PAYMENT AGAINST PO-4744 RAISED BY INDIGO HEALTH PROCUREMENT DESK
BANK3220,2026-09-03,2026-09-03,12332.65,INR,PO-4273,PAYMENT AGAINST PO-4273 RAISED BY JUPITER ELECTRONICS PROCUREMENT DESK
BANK3221,2026-09-01,2026-09-01,13170.04,INR,UTR8065,ACM TRDRS PYT-PO#5178 NEFT/RTGS/xxxxx
BANK3222,2026-09-01,2026-09-01,6656.32,INR,UTR8066,EVRLN MDIA GRP//SETLMNT-5179//
BANK3223,2026-09-01,2026-09-01,14331.95,INR,UTR8067,FLCN FRGHT SVC.. PYOUT#5180..
BANK3224,2026-09-01,2026-09-01,17605.63,INR,UTR8068,GRNFLD FRMS CO_SETL_5181_NEFT
BANK3225,2026-09-01,2026-09-01,13923.23,INR,UTR8069,HRZN RTL LTD PYMNT REF 5182 IMPS
BANK3226,2026-09-01,2026-09-01,13883.58,INR,UTR8070,INDG HLTHCR PYT-5183-RTGS
BANK3227,2026-09-02,2026-09-02,25873.79,INR,PAY2184,SETTLEMENT PAY2184 LESS TDS DEDUCTED @2% AS PER FORM 26AS
BANK3228,2026-09-02,2026-09-02,41183.18,INR,PAY2185,SETTLEMENT PAY2185 LESS COURIER RTO CHARGEBACK ADJUSTED
BANK3229,2026-09-02,2026-09-02,39548.77,INR,PAY2186,SETTLEMENT PAY2186 LESS BANK SERVICE CHARGE DEDUCTED
BANK3230,2026-09-02,2026-09-02,39493.51,INR,PAY2187,SETTLEMENT PAY2187 LESS EARLY SETTLEMENT DISCOUNT APPLIED
BANK3231,2026-09-02,2026-09-02,44118.16,INR,PAY2188,SETTLEMENT PAY2188 LESS GST TCS DEDUCTED AT SOURCE
BANK3232,2026-09-02,2026-09-02,19629.02,INR,PAY2189,SETTLEMENT PAY2189 LESS PENALTY FOR LATE DISPATCH ADJUSTED
BANK3233,2026-09-02,2026-09-02,28643.87,INR,SET7008,"BATCH PAYOUT COVERING PAY2190 & PAY2192, ALSO PAY2191 (partial narration order)"
BANK3234,2026-09-02,2026-09-02,22661.59,INR,SET7009,"BATCH PAYOUT COVERING PAY2193 & PAY2195, ALSO PAY2194 (partial narration order)"
BANK3235,2026-09-02,2026-09-02,21817.25,INR,SET7010,"BATCH PAYOUT COVERING PAY2196 & PAY2198, ALSO PAY2197 (partial narration order)"
BANK3236,2026-09-02,2026-09-02,35411.14,INR,SET7011,"BATCH PAYOUT COVERING PAY2199 & PAY2201, ALSO PAY2200 (partial narration order)"
