source,transaction_id,expected_match_source,expected_match_ids,expected_exception_type
processor,PAY2062,bank,BANK3062,
processor,PAY2063,bank,BANK3063,
processor,PAY2064,bank,BANK3064,
processor,PAY2065,bank,BANK3065,
processor,PAY2066,bank,BANK3066,
processor,PAY2067,bank,BANK3067,
processor,PAY2068,bank,BANK3068,
processor,PAY2069,bank,BANK3069,
processor,PAY2070,bank,BANK3070,
processor,PAY2071,bank,BANK3071,
processor,PAY2072,bank,BANK3072,
processor,PAY2073,bank,BANK3073,
processor,PAY2074,bank,BANK3074,
processor,PAY2075,bank,BANK3075,
processor,PAY2076,bank,BANK3076,
processor,PAY2077,bank,BANK3077,
processor,PAY2078,bank,BANK3078,
processor,PAY2079,bank,BANK3079,
processor,PAY2080,bank,BANK3080,
processor,PAY2081,bank,BANK3081,
processor,PAY2082,bank,BANK3082,
processor,PAY2083,bank,BANK3083,
processor,PAY2084,bank,BANK3084,
processor,PAY2085,bank,BANK3085,
processor,PAY2086,bank,BANK3086,
processor,PAY2087,bank,BANK3087,
processor,PAY2088,bank,BANK3087,
processor,PAY2089,bank,BANK3087,
processor,PAY2090,bank,BANK3087,
bank,BANK3087,erp,JNL4053,
processor,PAY2091,bank,BANK3088,
processor,PAY2092,bank,BANK3088,
processor,PAY2093,bank,BANK3088,
processor,PAY2094,bank,BANK3088,
bank,BANK3088,erp,JNL4054,
processor,PAY2095,bank,BANK3089,
processor,PAY2096,bank,BANK3089,
processor,PAY2097,bank,BANK3089,
processor,PAY2098,bank,BANK3089,
bank,BANK3089,erp,JNL4055,
processor,PAY2099,bank,BANK3090,
processor,PAY2100,bank,BANK3090,
processor,PAY2101,bank,BANK3090,
processor,PAY2102,bank,BANK3090,
bank,BANK3090,erp,JNL4056,
processor,PAY2103,bank,BANK3091,
processor,PAY2104,bank,BANK3091,
processor,PAY2105,bank,BANK3091,
processor,PAY2106,bank,BANK3091,
bank,BANK3091,erp,JNL4057,
processor,PAY2107,bank,BANK3092,
processor,PAY2108,bank,BANK3092,
processor,PAY2109,bank,BANK3092,
processor,PAY2110,bank,BANK3092,
bank,BANK3092,erp,JNL4058,
processor,PAY2111,bank,BANK3093,
processor,PAY2112,bank,BANK3093,
processor,PAY2113,bank,BANK3093,
processor,PAY2114,bank,BANK3093,
bank,BANK3093,erp,JNL4059,
erp,JNL4060,bank,BANK3094;BANK3095,
erp,JNL4061,bank,BANK3096;BANK3097,
erp,JNL4062,bank,BANK3098;BANK3099,
erp,JNL4063,bank,BANK3100;BANK3101,
erp,JNL4064,bank,BANK3102;BANK3103,
erp,JNL4065,,,partially_paid
erp,JNL4066,,,partially_paid
erp,JNL4067,,,partially_paid
erp,JNL4068,,,partially_paid
erp,JNL4069,,,overpaid
erp,JNL4070,,,overpaid
erp,JNL4071,,,overpaid
erp,JNL4072,,,overpaid
processor,PAY2115,,,amount_mismatch
processor,PAY2116,,,amount_mismatch
processor,PAY2117,,,amount_mismatch
processor,PAY2118,,,amount_mismatch
processor,PAY2119,,,amount_mismatch
processor,PAY2120,,,amount_mismatch
processor,PAY2121,,,amount_mismatch
processor,PAY2122,,,amount_mismatch
processor,PAY2123,,,amount_mismatch
processor,PAY2124,,,amount_mismatch
processor,PAY2125,,,missing_counterpart
processor,PAY2126,,,missing_counterpart
processor,PAY2127,,,missing_counterpart
processor,PAY2128,,,missing_counterpart
processor,PAY2129,,,missing_counterpart
processor,PAY2130,,,missing_counterpart
processor,PAY2131,,,missing_counterpart
processor,PAY2132,,,missing_counterpart
bank,BANK3130,,,unidentified_cash
bank,BANK3131,,,unidentified_cash
bank,BANK3132,,,unidentified_cash
bank,BANK3133,,,unidentified_cash
bank,BANK3134,,,unidentified_cash
bank,BANK3135,,,unidentified_cash
bank,BANK3136,,,unidentified_cash
bank,BANK3137,,,unidentified_cash
processor,PAY2133,,,duplicate
processor,PAY2134,,,duplicate
processor,PAY2135,,,duplicate
processor,PAY2136,,,duplicate
processor,PAY2137,,,duplicate
processor,PAY2138,,,duplicate
processor,PAY2139,bank,BANK3150,
bank,BANK3151,processor,PAY2139,
processor,PAY2140,bank,BANK3152,
bank,BANK3153,processor,PAY2140,
processor,PAY2141,bank,BANK3154,
bank,BANK3155,processor,PAY2141,
processor,PAY2142,bank,BANK3156,
bank,BANK3157,processor,PAY2142,
processor,PAY2143,bank,BANK3158,
bank,BANK3159,processor,PAY2143,
processor,PAY2144,bank,BANK3160,
bank,BANK3161,processor,PAY2144,
processor,PAY2145,bank,BANK3162,
processor,PAY2145,,,refund_missing_from_bank
processor,PAY2146,bank,BANK3163,
processor,PAY2146,,,refund_missing_from_bank
processor,PAY2147,bank,BANK3164,
processor,PAY2147,,,refund_missing_from_bank
processor,PAY2148,bank,BANK3165,
processor,PAY2148,,,refund_missing_from_bank
processor,PAY2149,bank,BANK3166,
processor,PAY2149,,,duplicate_refund
processor,PAY2150,bank,BANK3169,
processor,PAY2150,,,duplicate_refund
processor,PAY2151,bank,BANK3172,
processor,PAY2151,,,duplicate_refund
processor,PAY2152,,,amount_mismatch
processor,PAY2153,,,manual_data_quality_exception
processor,PAY2154,,,manual_data_quality_exception
processor,PAY2155,,,manual_data_quality_exception
processor,PAY2156,,,duplicate
processor,PAY2157,,,manual_data_quality_exception
processor,PAY2158,,,duplicate
processor,PAY2159,,,currency_mismatch
processor,PAY2160,,,currency_mismatch
processor,PAY2161,,,currency_mismatch
processor,PAY2162,,,currency_mismatch
erp,JNL4073,,,missing_counterpart
erp,JNL4074,,,missing_counterpart
erp,JNL4075,,,missing_counterpart
erp,JNL4076,,,missing_counterpart
erp,JNL4077,,,missing_counterpart
bank,BANK3187,erp,JNL4078,
erp,JNL4078,bank,BANK3187,
bank,BANK3188,erp,JNL4079,
erp,JNL4079,bank,BANK3188,
bank,BANK3189,erp,JNL4080,
erp,JNL4080,bank,BANK3189,
bank,BANK3190,erp,JNL4081,
erp,JNL4081,bank,BANK3190,
bank,BANK3191,erp,JNL4082,
erp,JNL4082,bank,BANK3191,
processor,PAY2163,bank,BANK3192,
processor,PAY2164,bank,BANK3193,
processor,PAY2165,bank,BANK3194,
processor,PAY2166,bank,BANK3195,
processor,PAY2167,bank,BANK3196,
processor,PAY2168,bank,BANK3197,
processor,PAY2169,bank,BANK3198,
processor,PAY2170,bank,BANK3199,
processor,PAY2171,bank,BANK3200,
processor,PAY2172,bank,BANK3202,
processor,PAY2173,bank,BANK3204,
processor,PAY2174,bank,BANK3206,
processor,PAY2175,bank,BANK3208,
processor,PAY2176,bank,BANK3210,
processor,PAY2177,bank,BANK3212,
bank,BANK3214,erp,JNL4083,
erp,JNL4083,bank,BANK3214,
bank,BANK3215,erp,JNL4084,
erp,JNL4084,bank,BANK3215,
bank,BANK3216,erp,JNL4085,
erp,JNL4085,bank,BANK3216,
bank,BANK3217,erp,JNL4086,
erp,JNL4086,bank,BANK3217,
bank,BANK3218,erp,JNL4087,
erp,JNL4087,bank,BANK3218,
bank,BANK3219,erp,JNL4088,
erp,JNL4088,bank,BANK3219,
bank,BANK3220,erp,JNL4089,
erp,JNL4089,bank,BANK3220,
processor,PAY2178,bank,BANK3221,
processor,PAY2179,bank,BANK3222,
processor,PAY2180,bank,BANK3223,
processor,PAY2181,bank,BANK3224,
processor,PAY2182,bank,BANK3225,
processor,PAY2183,bank,BANK3226,
processor,PAY2184,bank,BANK3227,
processor,PAY2185,bank,BANK3228,
processor,PAY2186,bank,BANK3229,
processor,PAY2187,bank,BANK3230,
processor,PAY2188,bank,BANK3231,
processor,PAY2189,bank,BANK3232,
processor,PAY2190,bank,BANK3233,
processor,PAY2191,bank,BANK3233,
processor,PAY2192,bank,BANK3233,
processor,PAY2193,bank,BANK3234,
processor,PAY2194,bank,BANK3234,
processor,PAY2195,bank,BANK3234,
processor,PAY2196,bank,BANK3235,
processor,PAY2197,bank,BANK3235,
processor,PAY2198,bank,BANK3235,
processor,PAY2199,bank,BANK3236,
processor,PAY2200,bank,BANK3236,
processor,PAY2201,bank,BANK3236,
